OMIM	OMIM_NAME	DO	DO_NAME	CLASS	CLASS_NAME
OMIM:233710	GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-POSITIVE, TYPE II; CDG2	DOID:3265	Chronic Granulomatous Disease	DOID:2914	Immune System Disease
OMIM:233910	HYPERPHENYLALANINEMIA, BH4-DEFICIENT, B; HPABH4B	DOID:9281	Phenylketonuria	DOID:655	Inherited Metabolic Disorder
OMIM:234000	FACTOR XII DEFICIENCY	DOID:2231	Factor XII Deficiency	DOID:0050177	Monogenic Disease
OMIM:234050	TRICHOTHIODYSTROPHY 4, NONPHOTOSENSITIVE; TTD4	DOID:0050528	Nonphotosensitive Trichothiodystrophy	DOID:0050177	Monogenic Disease
OMIM:234100	HALLERMANN-STREIFF SYNDROME; HSS	NA	NA	NA	NA
OMIM:234200	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1; NBIA1	DOID:3981	Pantothenate Kinase-Associated Neurodegeneration	DOID:863	Nervous System Disease
OMIM:234500	HARTNUP DISORDER; HND	DOID:1060	Hartnup Disease	DOID:655	Inherited Metabolic Disorder
OMIM:234580	HEIMLER SYNDROME 1; HMLR1	NA	NA	NA	NA
OMIM:234810	PULMONARY VENOOCCLUSIVE DISEASE 2, AUTOSOMAL RECESSIVE; PVOD2	DOID:6432	Pulmonary Hypertension	DOID:1287	Cardiovascular System Disease
OMIM:235200	HEMOCHROMATOSIS, TYPE 1; HFE1	DOID:2352	Hemochromatosis	DOID:655	Inherited Metabolic Disorder
OMIM:235400	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1	DOID:12554	Hemolytic-Uremic Syndrome	DOID:2914	Immune System Disease
OMIM:235510	HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 1; HKLLS1	DOID:48	Male Reproductive System Disease	DOID:15	Reproductive System Disease
OMIM:235550	HEPATIC VENOOCCLUSIVE DISEASE WITH IMMUNODEFICIENCY; VODI	DOID:612	Primary Immunodeficiency Disease	DOID:2914	Immune System Disease
OMIM:235555	BILE ACID SYNTHESIS DEFECT, CONGENITAL, 2; CBAS2	DOID:0050674	Congenital Bile Acid Synthesis Defect	DOID:655	Inherited Metabolic Disorder
OMIM:235700	HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO HEXOKINASE DEFICIENCY	NA	NA	NA	NA
OMIM:235730	MOWAT-WILSON SYNDROME; MOWS	DOID:10487	Hirschsprung's Disease	DOID:77	Gastrointestinal System Disease
OMIM:235800	HISTIDINEMIA	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:236000	LYMPHOMA, HODGKIN, CLASSIC; CHL	NA	NA	NA	NA
OMIM:236200	HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA-SYNTHASE DEFICIENCY	DOID:9263	Homocystinuria	DOID:655	Inherited Metabolic Disorder
OMIM:236250	HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY	DOID:9263	Homocystinuria	DOID:655	Inherited Metabolic Disorder
OMIM:236270	HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, cblE COMPLEMENTATION TYPE; HMAE	DOID:13382	Megaloblastic Anemia	DOID:2914	Immune System Disease
OMIM:236600	HYDROCEPHALUS, NONSYNDROMIC, AUTOSOMAL RECESSIVE 1; HYC1	DOID:10908	Hydrocephalus	DOID:863	Nervous System Disease
OMIM:236670	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1	DOID:0050560	Walker-Warburg Syndrome	DOID:17	Musculoskeletal System Disease
OMIM:236680	HYDROLETHALUS SYNDROME 1; HLS1	DOID:0050779	Hydrolethalus Syndrome	DOID:0050177	Monogenic Disease
OMIM:236700	MCKUSICK-KAUFMAN SYNDROME; MKKS	DOID:1682	Congenital Heart Disease	DOID:1287	Cardiovascular System Disease
OMIM:236730	UROFACIAL SYNDROME 1; UFS1	DOID:0050816	Urofacial Syndrome	DOID:0050177	Monogenic Disease
OMIM:236792	L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA	DOID:0050574	L-2-Hydroxyglutaric Aciduria	DOID:655	Inherited Metabolic Disorder
OMIM:236800	HYDROXYKYNURENINURIA	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:237300	CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO	DOID:9280	Carbamoyl Phosphate Synthetase I Deficiency Disease	DOID:655	Inherited Metabolic Disorder
OMIM:237310	N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY; NAGSD	DOID:9267	Urea Cycle Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:237450	HYPERBILIRUBINEMIA, ROTOR TYPE; HBLRR	DOID:2741	Bilirubin Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:237500	DUBIN-JOHNSON SYNDROME; DJS	DOID:12308	Dubin-Johnson Syndrome	DOID:655	Inherited Metabolic Disorder
OMIM:237900	HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATAL; HBLRTFN	DOID:2741	Bilirubin Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:238320	LEYDIG CELL HYPOPLASIA, TYPE I	DOID:1923	Sex Differentiation Disease	DOID:28	Endocrine System Disease
OMIM:238600	HYPERLIPOPROTEINEMIA, TYPE I	DOID:14118	Familial Lipoprotein Lipase Deficiency	DOID:655	Inherited Metabolic Disorder
OMIM:238700	HYPERLYSINEMIA, TYPE I	DOID:9274	Hyperlysinemia	DOID:655	Inherited Metabolic Disorder
OMIM:238970	HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA SYNDROME	DOID:0050720	Ornithine Translocase Deficiency	DOID:655	Inherited Metabolic Disorder
OMIM:239000	PAGET DISEASE OF BONE 5, JUVENILE-ONSET; PDB5	DOID:5408	Paget's Disease of Bone	DOID:17	Musculoskeletal System Disease
OMIM:239100	HYPEROSTOSIS CORTICALIS GENERALISATA	DOID:12721	Multiple Epiphyseal Dysplasia	DOID:17	Musculoskeletal System Disease
OMIM:239200	HYPERPARATHYROIDISM, NEONATAL SEVERE; NSHPT	DOID:11202	Primary Hyperparathyroidism	DOID:28	Endocrine System Disease
OMIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 1; HPMRS1	DOID:1059	Intellectual Disability	DOID:0060037	Developmental Disorder of Mental Health
OMIM:239500	HYPERPROLINEMIA, TYPE I; HYRPRO1	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:239510	HYPERPROLINEMIA, TYPE II; HYRPRO2	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:239850	CANTU SYNDROME	DOID:420	Hypertrichosis	DOID:16	Integumentary System Disease
OMIM:240300	AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE I, WITH OR WITHOUT REVERSIBLE METAPHYSEAL DYSPLASIA; APS1	DOID:14040	Autoimmune Polyendocrine Syndrome	DOID:2914	Immune System Disease
OMIM:240500	IMMUNODEFICIENCY, COMMON VARIABLE, 2; CVID2	DOID:12177	Common Variable Immunodeficiency	DOID:2914	Immune System Disease
OMIM:240600	GLYCOGEN STORAGE DISEASE 0, LIVER; GSD0A	DOID:2747	Glycogen Storage Disease	DOID:655	Inherited Metabolic Disorder
OMIM:240800	HYPOGLYCEMIA, LEUCINE-INDUCED; LIH	DOID:9993	Hypoglycemia	DOID:28	Endocrine System Disease
OMIM:240900	HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY; HIHGHH	NA	NA	NA	NA
OMIM:241080	WOODHOUSE-SAKATI SYNDROME	DOID:987	Alopecia	DOID:16	Integumentary System Disease
OMIM:241200	BARTTER SYNDROME, TYPE 2, ANTENATAL; BARTS2	DOID:445	Bartter Disease	DOID:18	Urinary System Disease
OMIM:241410	HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRD	DOID:0060348	Hypoparathyroidism-Retardation-Dysmorphism Syndrome	DOID:0050177	Monogenic Disease
OMIM:241500	HYPOPHOSPHATASIA, INFANTILE	DOID:14213	Hypophosphatasia	DOID:0050177	Monogenic Disease
OMIM:241510	HYPOPHOSPHATASIA, CHILDHOOD	DOID:14213	Hypophosphatasia	DOID:0050177	Monogenic Disease
OMIM:241520	HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL RECESSIVE, 1; ARHR1	DOID:0050445	X-Linked Hypophosphatemic Rickets	DOID:17	Musculoskeletal System Disease
OMIM:241530	HYPOPHOSPHATEMIC RICKETS WITH HYPERCALCIURIA, HEREDITARY; HHRH	NA	NA	NA	NA
OMIM:241550	HYPOPLASTIC LEFT HEART SYNDROME 1; HLHS1	DOID:9955	Hypoplastic Left Heart Syndrome	DOID:1287	Cardiovascular System Disease
OMIM:241600	IMMUNODEFICIENCY 43; IMD43	DOID:655	Inherited Metabolic Disorder	NA	NA
OMIM:241800	HYPOTHALAMIC HAMARTOMAS	DOID:1931	Hypothalamic Disease	DOID:863	Nervous System Disease
OMIM:241850	HYPOTHYROIDISM, THYROIDAL OR ATHYROIDAL, WITH SPIKY HAIR AND CLEFT PALATE	DOID:0050655	Bamforth-Lazarus Syndrome	DOID:28	Endocrine System Disease
OMIM:242100	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 2; ARCI2	DOID:1699	Congenital Ichthyosiform Erythroderma	DOID:0050177	Monogenic Disease
OMIM:242300	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 1; ARCI1	DOID:1699	Congenital Ichthyosiform Erythroderma	DOID:0050177	Monogenic Disease
OMIM:242500	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 4B; ARCI4B	DOID:1699	Congenital Ichthyosiform Erythroderma	DOID:0050177	Monogenic Disease
OMIM:242600	IMINOGLYCINURIA	DOID:447	Renal Tubular Transport Disease	DOID:18	Urinary System Disease
OMIM:242840	VICI SYNDROME; VICIS	DOID:0060356	Vici Syndrome	DOID:0050177	Monogenic Disease
OMIM:242860	IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1; ICF1	DOID:612	Primary Immunodeficiency Disease	DOID:2914	Immune System Disease
OMIM:242900	SCHIMKE IMMUNOOSSEOUS DYSPLASIA; SIOD	DOID:2349	Arteriosclerosis	DOID:1287	Cardiovascular System Disease
OMIM:243000	INDIFFERENCE TO PAIN, CONGENITAL, AUTOSOMAL RECESSIVE; CIP	DOID:574	Peripheral Nervous System Disease	DOID:863	Nervous System Disease
OMIM:243060	SPERMATOGENIC FAILURE 5; SPGF5	DOID:14227	Azoospermia	DOID:15	Reproductive System Disease
OMIM:243150	GASTROINTESTINAL DEFECTS AND IMMUNODEFICIENCY SYNDROME; GIDID	DOID:14671	Multiple Intestinal Atresia	DOID:0050177	Monogenic Disease
OMIM:243300	CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 1; BRIC1	DOID:1852	Intrahepatic Cholestasis	DOID:77	Gastrointestinal System Disease
OMIM:243310	BARAITSER-WINTER SYNDROME 1; BRWS1	DOID:0060229	Baraitser-Winter Syndrome	NA	NA
OMIM:243400	ACETYLATION, SLOW	NA	NA	NA	NA
OMIM:243500	ISOVALERIC ACIDEMIA; IVA	DOID:14753	Isovaleric Acidemia	DOID:655	Inherited Metabolic Disorder
OMIM:243700	HYPER-IgE RECURRENT INFECTION SYNDROME, AUTOSOMAL RECESSIVE	DOID:3261	Job's Syndrome	DOID:2914	Immune System Disease
OMIM:243800	JOHANSON-BLIZZARD SYNDROME; JBS	DOID:14694	Johanson-Blizzard Syndrome	DOID:0050177	Monogenic Disease
OMIM:244200	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA; HH3	DOID:3614	Kallmann Syndrome	DOID:28	Endocrine System Disease
OMIM:244400	CILIARY DYSKINESIA, PRIMARY, 1; CILD1	DOID:0050144	Kartagener Syndrome	DOID:0060340	Ciliopathy
OMIM:244450	KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS	DOID:1059	Intellectual Disability	DOID:0060037	Developmental Disorder of Mental Health
OMIM:244460	KENNY-CAFFEY SYNDROME, TYPE 1; KCS1	DOID:4257	Caffey Disease	DOID:17	Musculoskeletal System Disease
OMIM:245000	PAPILLON-LEFEVRE SYNDROME; PALS	DOID:3389	Papillon-Lefevre Disease	DOID:16	Integumentary System Disease
OMIM:245010	HAIM-MUNK SYNDROME; HMS	DOID:3389	Papillon-Lefevre Disease	DOID:16	Integumentary System Disease
OMIM:245050	SUCCINYL-CoA:3-OXOACID-CoA TRANSFERASE DEFICIENCY; SCOTD	DOID:0014667	Disease of Metabolism	NA	NA
OMIM:245150	KEUTEL SYNDROME; KTLS	DOID:182	Calcinosis	DOID:0060158	Acquired Metabolic Disease
OMIM:245200	KRABBE DISEASE	DOID:10587	Krabbe Disease	DOID:655	Inherited Metabolic Disorder
OMIM:245300	KURU, SUSCEPTIBILITY TO	NA	NA	NA	NA
OMIM:245340	ERYTHROCYTE LACTATE TRANSPORTER DEFECT	DOID:423	Myopathy	DOID:17	Musculoskeletal System Disease
OMIM:245348	PYRUVATE DEHYDROGENASE E2 DEFICIENCY; PDHDD	DOID:3649	Pyruvate Decarboxylase Deficiency	DOID:655	Inherited Metabolic Disorder
OMIM:245349	PYRUVATE DEHYDROGENASE E3-BINDING PROTEIN DEFICIENCY; PDHXD	DOID:3649	Pyruvate Decarboxylase Deficiency	DOID:655	Inherited Metabolic Disorder
OMIM:245400	MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (ENCEPHALOMYOPATHIC TYPE WITH METHYLMALONIC ACIDURIA); MTDPS9	NA	NA	NA	NA
OMIM:245480	SPECIFIC GRANULE DEFICIENCY; SGD	DOID:9500	Leukocyte Disease	DOID:2914	Immune System Disease
OMIM:245570	EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT MENTAL RETARDATION; FESD	DOID:2538	Landau-Kleffner Syndrome	DOID:863	Nervous System Disease
OMIM:245590	GROWTH HORMONE INSENSITIVITY WITH IMMUNODEFICIENCY	DOID:9521	Laron Syndrome	DOID:0050177	Monogenic Disease
OMIM:245600	MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT CONGENITAL HEART DEFECTS; JDSCD	NA	NA	NA	NA
OMIM:245660	LARYNGOONYCHOCUTANEOUS SYNDROME; LOCS	DOID:4251	Conjunctival Disease	DOID:863	Nervous System Disease
OMIM:245800	LAURENCE-MOON SYNDROME; LNMS	DOID:1930	Laurence-Moon Syndrome	DOID:0050177	Monogenic Disease
OMIM:245900	LECITHIN:CHOLESTEROL ACYLTRANSFERASE DEFICIENCY	DOID:1391	Norum Disease	DOID:655	Inherited Metabolic Disorder
OMIM:246200	DONOHUE SYNDROME	DOID:0050470	Donohue Syndrome	DOID:0050177	Monogenic Disease
OMIM:246300	LEPROSY, SUSCEPTIBILITY TO, 3; LPRS3	DOID:1024	Leprosy	DOID:104	Bacterial Infectious Disease
OMIM:246450	3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY; HMGCLD	NA	NA	NA	NA
OMIM:246650	LIPASE DEFICIENCY, COMBINED	DOID:3146	Lipid Metabolism Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:246700	CHYLOMICRON RETENTION DISEASE; CMRD	DOID:0060357	Chylomicron Retention Disease	DOID:655	Inherited Metabolic Disorder
OMIM:246900	DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENCY; DLDD	DOID:9269	Maple Syrup Urine Disease	DOID:655	Inherited Metabolic Disorder
OMIM:247100	LIPOID PROTEINOSIS OF URBACH AND WIETHE	DOID:14498	Lipoid Proteinosis	DOID:655	Inherited Metabolic Disorder
OMIM:247420	LUTHERAN NULL	NA	NA	NA	NA
OMIM:248000	MACROCEPHALY/MEGALENCEPHALY SYNDROME, AUTOSOMAL RECESSIVE; MGCPH	NA	NA	NA	NA
OMIM:248190	HYPOMAGNESEMIA 5, RENAL, WITH OCULAR INVOLVEMENT; HOMG5	DOID:447	Renal Tubular Transport Disease	DOID:18	Urinary System Disease
OMIM:248200	STARGARDT DISEASE 1; STGD1	DOID:0050817	Stargardt Disease	DOID:863	Nervous System Disease
OMIM:248250	HYPOMAGNESEMIA 3, RENAL; HOMG3	DOID:12679	Nephrocalcinosis	DOID:0060158	Acquired Metabolic Disease
OMIM:248300	MAL DE MELEDA; MDM	DOID:3390	Palmoplantar Keratosis	DOID:16	Integumentary System Disease
OMIM:248360	MALONYL-CoA DECARBOXYLASE DEFICIENCY	DOID:655	Inherited Metabolic Disorder	NA	NA
OMIM:248370	MANDIBULOACRAL DYSPLASIA WITH TYPE A LIPODYSTROPHY; MADA	DOID:811	Lipodystrophy	DOID:16	Integumentary System Disease
OMIM:248390	TREACHER COLLINS SYNDROME 3; TCS3	DOID:2908	Treacher Collins Syndrome	DOID:0050177	Monogenic Disease
OMIM:248450	MANITOBA OCULOTRICHOANAL SYNDROME; MOTA	DOID:12270	Coloboma	DOID:863	Nervous System Disease
OMIM:248500	MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA	DOID:3413	Alpha-Mannosidosis	DOID:655	Inherited Metabolic Disorder
OMIM:248510	MANNOSIDOSIS, BETA A, LYSOSOMAL; MANSB	DOID:3633	Beta-Mannosidosis	DOID:655	Inherited Metabolic Disorder
OMIM:248600	MAPLE SYRUP URINE DISEASE; MSUD	DOID:9269	Maple Syrup Urine Disease	DOID:655	Inherited Metabolic Disorder
OMIM:248700	MARDEN-WALKER SYNDROME; MWKS	DOID:65	Connective Tissue Disease	DOID:17	Musculoskeletal System Disease
OMIM:248800	MARINESCO-SJOGREN SYNDROME; MSS	DOID:9277	Primary Cerebellar Degeneration	DOID:863	Nervous System Disease
OMIM:248900	MAST SYNDROME	DOID:0060245	Mast Syndrome	DOID:863	Nervous System Disease
OMIM:249000	MECKEL SYNDROME, TYPE 1; MKS1	DOID:0050778	Meckel Syndrome	DOID:0060340	Ciliopathy
OMIM:249100	FAMILIAL MEDITERRANEAN FEVER; FMF	DOID:2987	Familial Mediterranean Fever	DOID:2914	Immune System Disease
OMIM:249270	THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME; TRMA	DOID:13382	Megaloblastic Anemia	DOID:2914	Immune System Disease
OMIM:249400	MELANOSIS, NEUROCUTANEOUS; NCMS	DOID:14693	Clouston Syndrome	DOID:0050177	Monogenic Disease
OMIM:249420	FRANK-TER HAAR SYNDROME; FTHS	DOID:1682	Congenital Heart Disease	DOID:1287	Cardiovascular System Disease
OMIM:249500	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 1; MRT1	DOID:0060308	Autosomal Recessive Non-Syndromic Intellectual Disability	DOID:0060037	Developmental Disorder of Mental Health
OMIM:249700	LANGER MESOMELIC DYSPLASIA; LMD	DOID:12721	Multiple Epiphyseal Dysplasia	DOID:17	Musculoskeletal System Disease
OMIM:249900	METACHROMATIC LEUKODYSTROPHY DUE TO SAPOSIN B DEFICIENCY	DOID:10581	Metachromatic Leukodystrophy	DOID:655	Inherited Metabolic Disorder
OMIM:250100	METACHROMATIC LEUKODYSTROPHY; MLD	DOID:10581	Metachromatic Leukodystrophy	DOID:655	Inherited Metabolic Disorder
OMIM:250220	SPONDYLOMETAPHYSEAL DYSPLASIA, SEDAGHATIAN TYPE; SMDS	NA	NA	NA	NA
OMIM:250250	CARTILAGE-HAIR HYPOPLASIA; CHH	DOID:14773	Cartilage-Hair Hypoplasia	DOID:0050177	Monogenic Disease
OMIM:250400	METAPHYSEAL DYSPLASIA, SPAHR TYPE; MDST	NA	NA	NA	NA
OMIM:250460	METAPHYSEAL DYSPLASIA WITHOUT HYPOTRICHOSIS	DOID:12721	Multiple Epiphyseal Dysplasia	DOID:17	Musculoskeletal System Disease
OMIM:250620	3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY; HIBCHD	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:250790	METHEMOGLOBINEMIA TYPE IV	DOID:10783	Methemoglobinemia	DOID:2914	Immune System Disease
OMIM:250800	METHEMOGLOBINEMIA DUE TO DEFICIENCY OF METHEMOGLOBIN REDUCTASE	DOID:10783	Methemoglobinemia	DOID:2914	Immune System Disease
OMIM:250850	METHIONINE ADENOSYLTRANSFERASE DEFICIENCY	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:250940	HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, cblG COMPLEMENTATION TYPE; HMAG	DOID:655	Inherited Metabolic Disorder	NA	NA
OMIM:250950	3-METHYLGLUTACONIC ACIDURIA, TYPE I; MGCA1	DOID:655	Inherited Metabolic Disorder	NA	NA
OMIM:251000	METHYLMALONIC ACIDURIA DUE TO METHYLMALONYL-CoA MUTASE DEFICIENCY	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:251100	METHYLMALONIC ACIDURIA, cblA TYPE	DOID:14749	Methylmalonic Acidemia	DOID:655	Inherited Metabolic Disorder
OMIM:251110	METHYLMALONIC ACIDURIA, cblB TYPE	DOID:14749	Methylmalonic Acidemia	DOID:655	Inherited Metabolic Disorder
OMIM:251120	METHYLMALONYL-CoA EPIMERASE DEFICIENCY	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:251200	MICROCEPHALY 1, PRIMARY, AUTOSOMAL RECESSIVE; MCPH1	DOID:10907	Microcephaly	DOID:2490	Congenital Nervous System Abnormality
OMIM:251255	JAWAD SYNDROME; JWDS	DOID:1059	Intellectual Disability	DOID:0060037	Developmental Disorder of Mental Health
OMIM:251260	NIJMEGEN BREAKAGE SYNDROME; NBS	DOID:7400	Nijmegen Breakage Syndrome	DOID:0050177	Monogenic Disease
OMIM:251270	MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 1; MCCRP1	NA	NA	NA	NA
OMIM:251290	BAND-LIKE CALCIFICATION WITH SIMPLIFIED GYRATION AND POLYMICROGYRIA; BLCPMG	DOID:0050656	Pseudo-TORCH Syndrome	DOID:0050177	Monogenic Disease
OMIM:251300	GALLOWAY-MOWAT SYNDROME; GAMOS	DOID:12642	Hiatus Hernia	DOID:77	Gastrointestinal System Disease
OMIM:251450	DESBUQUOIS DYSPLASIA 1; DBQD1	DOID:1148	Polydactyly	NA	NA
OMIM:251750	MICROSPHEROPHAKIA AND/OR MEGALOCORNEA, WITH ECTOPIA LENTIS AND WITH OR WITHOUT SECONDARY GLAUCOMA; MSPKA	NA	NA	NA	NA
OMIM:251850	DIARRHEA 2, WITH MICROVILLUS ATROPHY; DIAR2	DOID:3343	Glycoproteinosis	DOID:655	Inherited Metabolic Disorder
OMIM:251880	MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE); MTDPS3	NA	NA	NA	NA
OMIM:251950	MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS; MMLA	DOID:3650	Lactic Acidosis	DOID:0060158	Acquired Metabolic Disease
OMIM:252010	MITOCHONDRIAL COMPLEX I DEFICIENCY	DOID:700	Mitochondrial Metabolism Disease	DOID:655	Inherited Metabolic Disorder
OMIM:252011	MITOCHONDRIAL COMPLEX II DEFICIENCY	DOID:655	Inherited Metabolic Disorder	NA	NA
OMIM:252150	MOLYBDENUM COFACTOR DEFICIENCY, COMPLEMENTATION GROUP A; MOCODA	DOID:896	Metal Metabolism Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:252160	MOLYBDENUM COFACTOR DEFICIENCY, COMPLEMENTATION GROUP B; MOCODB	DOID:896	Metal Metabolism Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:252500	MUCOLIPIDOSIS II ALPHA/BETA	DOID:3343	Glycoproteinosis	DOID:655	Inherited Metabolic Disorder
OMIM:252600	MUCOLIPIDOSIS III ALPHA/BETA	DOID:3343	Glycoproteinosis	DOID:655	Inherited Metabolic Disorder
OMIM:252605	MUCOLIPIDOSIS III GAMMA	DOID:3343	Glycoproteinosis	DOID:655	Inherited Metabolic Disorder
OMIM:252650	MUCOLIPIDOSIS IV; ML4	DOID:3343	Glycoproteinosis	DOID:655	Inherited Metabolic Disorder
OMIM:252900	MUCOPOLYSACCHARIDOSIS, TYPE IIIA; MPS3A	DOID:12801	Mucopolysaccharidosis III	DOID:655	Inherited Metabolic Disorder
OMIM:252920	MUCOPOLYSACCHARIDOSIS, TYPE IIIB; MPS3B	DOID:12801	Mucopolysaccharidosis III	DOID:655	Inherited Metabolic Disorder
OMIM:252930	MUCOPOLYSACCHARIDOSIS, TYPE IIIC; MPS3C	DOID:12801	Mucopolysaccharidosis III	DOID:655	Inherited Metabolic Disorder
OMIM:252940	MUCOPOLYSACCHARIDOSIS, TYPE IIID; MPS3D	DOID:12801	Mucopolysaccharidosis III	DOID:655	Inherited Metabolic Disorder
OMIM:253000	MUCOPOLYSACCHARIDOSIS, TYPE IVA; MPS4A	DOID:12804	Mucopolysaccharidosis IV	DOID:655	Inherited Metabolic Disorder
OMIM:253010	MUCOPOLYSACCHARIDOSIS, TYPE IVB; MPS4B	DOID:12804	Mucopolysaccharidosis IV	DOID:655	Inherited Metabolic Disorder
OMIM:253200	MUCOPOLYSACCHARIDOSIS TYPE VI; MPS6	DOID:12800	Mucopolysaccharidosis VI	DOID:655	Inherited Metabolic Disorder
OMIM:253220	MUCOPOLYSACCHARIDOSIS, TYPE VII; MPS7	DOID:12803	Sly Syndrome	DOID:655	Inherited Metabolic Disorder
OMIM:253250	MULIBREY NANISM	DOID:0050436	Mulibrey Nanism	DOID:0050177	Monogenic Disease
OMIM:253260	BIOTINIDASE DEFICIENCY	DOID:856	Biotinidase Deficiency	DOID:655	Inherited Metabolic Disorder
OMIM:253270	HOLOCARBOXYLASE SYNTHETASE DEFICIENCY	DOID:859	Holocarboxylase Synthetase Deficiency	DOID:655	Inherited Metabolic Disorder
OMIM:253280	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 3; MDDGA3	DOID:0050560	Walker-Warburg Syndrome	DOID:17	Musculoskeletal System Disease
OMIM:253290	MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE; LMPS	DOID:8545	Malignant Hyperthermia	NA	NA
OMIM:253300	SPINAL MUSCULAR ATROPHY, TYPE I; SMA1	DOID:13137	Werdnig-Hoffmann Disease	DOID:863	Nervous System Disease
OMIM:253310	LETHAL CONGENITAL CONTRACTURE SYNDROME 1; LCCS1	DOID:381	Arthropathy	DOID:17	Musculoskeletal System Disease
OMIM:253400	SPINAL MUSCULAR ATROPHY, TYPE III; SMA3	DOID:12376	Juvenile Spinal Muscular Atrophy	DOID:863	Nervous System Disease
OMIM:253550	SPINAL MUSCULAR ATROPHY, TYPE II; SMA2	DOID:0050530	Intermediate Spinal Muscular Atrophy	DOID:863	Nervous System Disease
OMIM:253600	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2A; LGMD2A	DOID:11724	Limb-Girdle Muscular Dystrophy	DOID:17	Musculoskeletal System Disease
